# index, id, name, non_attrition, attrition, _pos
88,177,Rutgers - New Brunswick,243,67,"array([-2.10325686,  5.44067711])"
89,554609,International School For Advanced Studies,0,0,"array([-2.09932694,  5.63112505])"
90,538058,University of Montreal,0,0,"array([-2.26192369,  5.4709709 ])"
91,539392,Technical University Berlin,0,0,"array([-2.28348247,  5.47722078])"
92,539058,University of Copenhagen,0,0,"array([-2.16969052,  5.63288947])"
93,323,University of Notre Dame,114,32,"array([-2.07494629,  5.44015345])"
94,689807,Radboud University,0,0,"array([-2.0809636 ,  5.31499083])"
95,556222,"Institute of Mathematics, Swiss Federal Institute of Technology",0,0,"array([-2.26722165,  5.83889921])"
96,558044,Sharif University of Technology,0,0,"array([-1.79530025,  5.52865884])"
97,329,University of Rochester,243,78,"array([-2.17955321,  5.43892595])"
98,141,New Jersey Institute of Technology,13,4,"array([-2.0608248,  5.472475 ])"
99,211,Teachers College Columbia,16,3,"array([-2.09990241,  5.55615454])"
100,689817,Vrije University,0,0,"array([-2.05772135,  5.33197672])"
101,168,Purdue,326,128,"array([-2.18912833,  5.47937209])"
102,537152,University of British Columbia,0,0,"array([-2.07946428,  5.46192903])"
103,73,Florida State,312,89,"array([-2.13866384,  5.43763967])"
104,99,Iowa State,152,60,"array([-2.1634254 ,  5.46694137])"
105,215,Texas A&M,319,76,"array([-2.10937484,  5.49458053])"
106,299,University of Miami,66,18,"array([-2.17671932,  5.49050886])"
107,293,UMass Amherst,223,74,"array([-2.13845322,  5.45291873])"
108,539457,The Weizmann Institute of Science,0,0,"array([-2.2239634 ,  5.54882265])"
109,302,University of Mississippi,40,13,"array([-2.19583464,  5.52455538])"
110,537140,University of Toronto,0,0,"array([-2.179533  ,  5.53849842])"
111,538204,Technion Israel Institute of Technology,0,0,"array([-2.22634172,  5.45854672])"
112,537193,Imperial College London,0,0,"array([-2.18700871,  5.39038171])"
113,29,Bryn Mawr,8,4,"array([-2.24097562,  5.50967791])"
114,538144,Fudan University,0,0,"array([-2.1988989 ,  5.38465652])"
115,344,University of Vermont,33,10,"array([-2.16409947,  5.45275853])"
116,538342,National University of Cordoba,0,0,"array([-1.99740724,  5.34510903])"
117,540833,University of Paris VI (Pierre and Marie Curie),0,0,"array([-2.17140888,  5.36463154])"
118,26,Brandeis,69,31,"array([-2.19224313,  5.45490938])"
119,539628,University of Bombay,0,0,"array([-2.06355589,  5.62024317])"
120,539040,Lanzhou University,0,0,"array([-2.36852899,  5.35713991])"
121,343,University of Utah,138,55,"array([-2.08502475,  5.43548975])"
122,349,University of Wyoming,49,15,"array([-2.11032182,  5.50084878])"
123,263,CU Boulder,291,90,"array([-2.15133957,  5.50014642])"
124,537144,University of London,0,0,"array([-2.17371173,  5.54474795])"
